FirstName            LastName             TotalBalance         CardNumber           BranchName          
Carol                Davis                3500.0               5555555555555555     West Branch         
Carol                Davis                2500.0               5678901234567890     Main Branch         
Mia                  Robinson             2200.0               9999999999999999     West Branch         
Bob                  Brown                2000.0               4567890123456789     East Branch         
Oliver               Harris               1800.0               6666666666666666     East Branch         
Alice                Johnson              1500.0               3456789012345678     Main Branch         
Liam                 Lewis                1500.0               8888888888888888     North Branch        
John                 Doe                  1000.0               1234567890123456     Main Branch         
Noah                 Walker               950.0                0000000000000000     North Branch        
Emma                 Clark                800.0                7777777777777777     West Branch         
Jane                 Smith                500.0                2345678901234567     East Branch         
